Contract ID,Action Obligation ($),Date Signed,Contracting Agency ID,PSC,NAICS,Region,Business Entity ID
00564200301DV564C299,9702,2003-01-15,3600,Z141,236220,Southeast,HN2NP6EAKJG8
00564200301DV564C300,27625,2003-01-15,3600,Z141,236220,Southeast,HN2NP6EAKJG8
8191200301D5094TZ30065,0,2003-01-15,12C2,Y119,236220,Southwest,WS3GB99AQQK4
82X9200301D5082X93J023,214000,2003-01-15,12C2,Y139,236220,Southeast,Q8T6WLFFW4W7
91T5200301D5091T531A107,299317,2003-01-15,12C2,Y300,236220,West,KMWSE56KJG46
94TZ200301D2094TZ30065,117574,2003-01-15,12C2,Y119,236220,Southwest,WS3GB99AQQK4
ALMEC200301DSALMEC03C0009,5000,2003-01-15,1900,Y111,236220,Southeast,XNXMDDX3LV67
CX000200301DGS04P03CXC0010,87400,2003-01-15,4740,Z111,236220,West,JN1SGFCFZYJ7
DABJ0103C0018,680000,2003-01-14,2100,Z111,236220,Southeast,N7BNALE5KJQ8
DABJ0103C0019,680000,2003-01-14,2100,Z111,236220,Southeast,N7BNALE5KJQ8
DABM0303C2004,482294,2003-01-20,2100,C119,236220,Southeast,LN9PU5M2YZN5
DACA0103C0003,691789,2003-01-31,2100,Y199,236220,Southeast,NQPFTGCJHGG5
DACA0103C0004,2144896,2003-01-31,2100,Y199,236220,Southeast,EFL2BCDWNR55
DACA2103C0004,1460000,2003-01-31,2100,Y300,236220,Southeast,NDC6HUL999A7
DACA2703C0003,7927209,2003-01-07,2100,Y199,236220,Midwest,V6Q4XKQMBBZ8
DAHA4203C0001,28591,2003-01-16,2100,Z111,236220,West,YLQFJ3NNTAK6
EW000200301DGS04P03EWD0039,1,2003-01-15,4740,Z111,236220,Southeast,ZBHKQBX9E5F7
EW000200301DGS04P03RXC0013,244951,2003-01-15,4740,Z111,236220,Southeast,GQPCDCKP6JA1
EX000200301DGS04P03EXC0006,146400,2003-01-15,4740,Z111,236220,Southeast,U697PELZJG13
F0865003C0004,700425,2003-01-16,5700,Z299,236220,Southeast,W635GFQ6ZNH5
F2860903C0005,1045250,2003-01-09,5700,Z111,236220,Northeast,C1SEHY79DFK9
F2860903C0006,675000,2003-01-14,5700,Z159,236220,Northeast,QS4DKQ72ZK25
GS05P03SAC0078,0,2003-01-28,4740,Z111,236220,Midwest,W5GLBKRC8NG3
KSC00200301DNAS1003023,23969000,2003-01-15,8000,Y111,236220,Southeast,MARFUHM88M38
MSFC0200301DNAS803048,1359955,2003-01-15,8000,Z119,236220,Southeast,G77QL7JGAZW9
N6246701C0316,1380100,2003-01-10,1700,Z131,236220,Southwest,F33UARVNG2F6
N6247000C4715,1719000,2003-01-15,1700,Z139,236220,Southeast,LL9YWE8DY5T3
NMA40203C0004,214600,2003-01-13,97AB,Z111,236220,Midwest,SE5KJY38THR8
RA000200301DGS04P03EWC0033,37500,2003-01-15,4740,Z111,236220,Southeast,JLL4HC629SP3
RA000200301DGS04P03EWC0146,130500,2003-01-15,4740,Z111,236220,Southwest,GY8EADN4HMH3
RA000200301DGS04P03RAC0039,259148,2003-01-15,4740,Z111,236220,Southeast,ELWNXJA65PG9
RA000200301DGS04P03RAC0054,3244,2003-01-15,4740,Z111,236220,Southeast,HNQXMJMN3KV5
RX000200301DGS04P03RXC0015,663321,2003-01-15,4740,Z111,236220,Southeast,WYQQVTYWDNN4
00243200302DV10N3C010A,942000,2003-02-15,3600,Z141,236220,Northeast,CWH3B95J8M73
00247200302DV247C0138,75151,2003-02-15,3600,C114,236220,Southeast,GQPCDCKP6JA1
00255200302DV255C589A60201,34000,2003-02-15,3600,Z149,236220,Midwest,FGMRGGL3V564
