Contract ID,NAICS,Date Signed,Contracting Agency ID,PSC,Region,Business Entity ID,Action Obligation ($),Modification Count,Total Modified Action Obligation ($)
89243324CFE000092,236220,2024-06-28,8900,Z2JZ,West,F22YM6F7WNH2,3171137,0,0
91T5200210D5091T531A101,236220,2002-10-15,12C2,Y199,West,VHBWY3U8CXD8,420093,0,0
N3319111C1718,236220,2011-07-20,1700,Y199,Southeast,LN9PU5M2YZN5,477000,5,64443
FA940104C0005,236220,2004-05-18,5700,Z111,Southwest,GKKNXEYFK8F2,46329,0,0
W917PM09C0048,236220,2009-06-20,2100,Y163,Southeast,LN9PU5M2YZN5,5703730,3,623857
47PD0418C0017,236220,2018-09-12,4740,Z2AA,Southeast,E5DHE5RKL3G5,24080,1,0
VA241C0538,236220,2008-05-13,3600,Z149,Northeast,NTJ7UKAYJXD5,67736,1,1383
W912QR14C0012,236220,2014-03-27,2100,Y1JZ,Northeast,YD2FLN7AC4F5,5242985,5,140778
GS03P16QMC7034,236220,2016-02-19,4740,Z2AA,Southeast,NFZ6NXT47Y76,74856,3,6358
697DCK23C00311,236220,2023-08-16,6920,Z2BZ,Southeast,MWJ7NUBTZZR9,524000,2,25719
INPC3200100026,236220,2010-05-12,1443,5650,Southeast,ZXEMPN3LJT99,14680,0,0
AG438450438440500,236220,2004-09-30,12H2,Y199,Southeast,SHG5YDSACYF1,715846,0,0
AG9AC7C170045,236220,2017-06-01,12C2,Z2AA,Southeast,P1JLNNA46KP3,26100,0,0
GS11P14YEC0129,236220,2014-09-25,4740,Z2AA,Southeast,QGMBAN5HY1L3,953288,8,95062
36C26223C0247,236220,2023-09-06,3600,Z2DA,West,MMX3LP7SDGL5,4774978,1,0
W912JB06C4002,236220,2006-06-15,2100,Y129,Midwest,FNCWBMH6A8D5,7205325,20,113810
47PK0618C0004,236220,2017-11-21,4740,Z2AA,West,UDSFEA2BSHB6,24469,1,0
47PK1518C0022,236220,2018-04-30,4740,Z2AA,West,LPENHBUGJ874,24849,2,0
N4008509C2862,236220,2009-09-30,1700,Z199,Southeast,PDCYQM94UZK4,1648673,2,0
W912DQ19C4008,236220,2019-03-28,2100,Y1AZ,Southeast,H8GKWEQMBP83,626022,1,45000
VA25914C0356,236220,2014-09-10,3600,Y1DZ,West,SNG9LQMA4AX7,43923,0,0
GS09P07KLC0015,236220,2007-03-14,4740,Z111,West,FMWES9LWMLX7,831989,1,0
W912QR13C0032,236220,2013-09-30,2100,Y1JZ,Midwest,TPZ5KM2JLRF9,56098000,54,7901889
CD000200210DGS03P03CDC0068,236220,2002-10-15,4740,Z111,Southeast,L389HZJ85LD5,353363,5,449076
VA255C1290,236220,2009-08-12,3600,Z141,Midwest,MU7JCY7R23J8,74313,0,0
VA245C0513,236220,2010-08-24,3600,Y142,Southeast,CLJME3ENNXM6,697303,1,15478
INL10PC00475,236220,2010-03-23,1422,Y119,Southwest,KSTZTHNDCL67,11447000,21,703139
VA69DC0520,236220,2008-06-06,3600,Z141,Midwest,H8KMD811NZE3,6018,0,0
W912R113C0015,236220,2013-09-28,2100,Z2AA,Southeast,JDKWFKD2C665,345499,0,0
FA283522C0025,236220,2022-09-16,5700,Z2QA,Northeast,SPW8KTH63M65,542415,2,0
GS05P16SKC7003,236220,2016-06-30,4740,Z2AA,Midwest,ZAUMN3W775J7,85568,1,3584
W9124L22C0007,236220,2022-09-28,2100,Z1CZ,Southwest,DNGZKQGQ5117,4667857,0,0
W912QR13C0024,236220,2013-08-22,2100,Y1JZ,Midwest,CLHACCHR24F7,21779000,39,3644225
VA24515C0043,236220,2015-03-25,3600,Y1DA,Midwest,ZE2HCHPFBH93,8565971,12,394647
36C24424C0010,236220,2024-09-24,3600,Z1DA,Northeast,XCHST6L53NH6,8672850,0,0
VA26315C0146,236220,2015-09-21,3600,Z1AA,Midwest,H8KMD811NZE3,1971068,4,27965
697DCK23C00312,236220,2023-08-16,6920,Y1GZ,Southeast,MFMVJMYLMV17,249953,0,0
V610C00203,236220,2005-08-04,3600,Z119,West,LG1LFEQ3ZCK1,25000,0,0
00564200301DV564C298,236220,2003-01-15,3600,Z141,Southeast,HN2NP6EAKJG8,5800,0,0
W912PM19C0043,236220,2019-09-30,2100,Y1JZ,Southeast,QXNSEJFDC1K3,9649333,12,101610
VA247C0806,236220,2009-01-22,3600,Z141,Southeast,QGQJGRHKLYP6,1131213,5,0
VA255C1067,236220,2009-03-05,3600,Z141,Midwest,Z8PPMRJSJ1E5,90752,1,1650
VA244C0279,236220,2009-01-06,3600,Z141,Northeast,DYXDY8SPFND8,248787,0,0
GS11P15YTC0151,236220,2015-04-09,4740,Z2AZ,Southeast,CKYLMFTCHF65,8948,0,0
INPC4500060927,236220,2006-09-26,1443,Z299,Northeast,QQMLLAJRVAM9,4335940,19,764539
W917BG07C0048,236220,2007-02-19,2100,Z131,Southeast,LN9PU5M2YZN5,449169,1,449169
2032H323C00032,236220,2023-08-16,2001,Z2AA,Southeast,FJEBF8Y9JUL6,28956,0,0
N4008019C1017,236220,2019-09-16,1700,Z2BZ,Southeast,N3MYJ5PNYYM7,359969,0,0
V693C473,236220,2004-02-02,3600,AD61,Northeast,YMAXK3BK3T78,108770,0,0
VA243C0625,236220,2009-07-27,3600,Y249,Northeast,LQ7BY5LJSCR1,87500,1,7340
GS06P08THC0011,236220,2008-01-07,4740,Z111,Midwest,RATGQY6WR5L4,7480,0,0
AG91S85091S842W03,236220,2003-11-17,12C2,Y119,West,GMYUEKUMJVE1,9076628,6,994482
AG5680C070006,236220,2007-09-12,12C2,Z119,Midwest,MDVAUM7WJLD3,204095,2,46636
W9124312C0500,236220,2012-05-04,2100,Z2AA,Midwest,GEUBD59DZKK5,6911,0,0
VA256C0376,236220,2008-08-01,3600,Y141,Midwest,T4ZJDAHKNZZ2,268000,1,1704
VA257C0577,236220,2010-07-15,3600,Y300,Southwest,HZNQS2GNUME4,40000,1,2000
DTFASA17C00738,236220,2017-09-19,6920,Z1AZ,West,CWVJEB454CR7,94300,0,0
1333ND23CNB190021,236220,2023-05-11,1341,Z1JZ,West,UFNYGJ2528F8,148325,1,95200
SCH50015C2006,236220,2015-04-22,1900,Y1EB,Southeast,LN9PU5M2YZN5,4824,0,0
36C24619C0095,236220,2019-08-29,3600,Z2DZ,Southeast,DDK2FHL99516,991743,19,403004
W90BRJ10C0022,236220,2010-05-31,2100,Y119,Southeast,LN9PU5M2YZN5,1746361,3,13333
FA813720C0004,236220,2019-12-16,5700,Z2EB,Southwest,M34GPJWKR1K4,3515505,2,0
W91B4M10C6516,236220,2010-09-22,2100,Y199,Southeast,LN9PU5M2YZN5,673920,1,99560
W911KB24C0020,236220,2024-09-26,2100,Y1BF,West,TKDXFAZUZ257,12047830,0,0
GS11P11YEC0120,236220,2011-04-22,4740,Y111,Southeast,G4ENH4Q3YMJ5,7865,0,0
DACA5103C0006,236220,2003-02-21,2100,Y211,Northeast,KJE1MNJ9LZ85,3184000,16,486934
V247C04428A,236220,2005-09-07,3600,Z141,Southeast,E2LNTGNM1968,3477721,4,29791
W9127804C0064,236220,2004-09-30,2100,Y141,Southeast,KSB3KRP39WE5,2341197,0,0
W917PM09C0052,236220,2009-06-09,2100,Y199,Southeast,KA5HQCLKUVW1,26842787,9,10265378
GS09P17WNC0021,236220,2017-06-07,4740,Z2AA,West,YJGTUP1W3JX9,4218,0,0
W9124722C0057,236220,2022-08-02,2100,Z1FC,Southeast,PTHMDBNVTF45,386269,1,0
0436CW10326,236220,2004-06-25,3300,Z199,Southeast,H2XFGR46UMA1,151801,1,58444
W913FT06C0005,236220,2006-05-22,2100,X300,Southeast,LN9PU5M2YZN5,54981,2,9781
N4008308C1027,236220,2008-06-27,1700,Y199,Midwest,N2WKZLLGTLL7,675192,2,11693
N6247313C1610,236220,2013-09-30,1700,Y1JZ,West,SLM7RNSKD525,2751132,2,279902
AG32SCC150043,236220,2015-09-02,12H2,Y1DB,Midwest,LZL3J61WVEY5,45000,7,500684
V00241C00161,236220,2006-07-12,3600,Z141,Northeast,CXUJGWBBW4V5,98700,2,13000
W912HP20C3005,236220,2020-09-30,2100,Y1JZ,West,VJLRABACLTN9,2817615,3,65603
47PK1419C0001,236220,2018-10-26,4740,Z2AA,West,V79BMWJ66XC6,83081,3,0
75N99023C00045,236220,2023-09-05,7529,Y1JZ,Southeast,GR8LJ61N3PM5,3302153,3,1238193
INPC0700000119,236220,2007-09-25,1443,Z111,Southeast,GDENLX3JRDL8,4860,2,0
W912DR07C0059,236220,2007-09-29,2100,Z199,Northeast,FSKYY3K288M5,2267000,15,367735
N6247314C0420,236220,2014-07-15,1700,Y1JZ,Southwest,MCDCZCVRBPA8,449712,3,21404
FA860108C0029,236220,2008-09-23,5700,Z300,Midwest,C5KDMMBNXCD1,499904,2,1200
AG9A28C050004,236220,2005-07-13,12C2,Y119,West,JN1SGFCFZYJ7,617400,2,16198
GS11P08MAC0264,236220,2008-09-26,4740,Z111,Southeast,S3UQJZWFHCK5,195201,1,179973
VA52813C0157,236220,2013-08-28,3600,Y1JZ,Northeast,R34MRBPK3E94,113670,0,0
DOLJ079626083,236220,2007-09-07,1631,Y199,West,GHFAHRGX2KW2,12509000,13,429891
W912QR13C0020,236220,2013-06-14,2100,Y1JZ,Southeast,D4VQMKB86C75,3918074,6,33165
VA26213C0059,236220,2013-02-27,3600,Z1DZ,West,T5HAA9MUMDU4,649500,3,176197
