,Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
2653,N6247311C4021,1700,Empty,Empty,Empty
2654,FA480304C9026,5700,Empty,Empty,Empty
2655,N4008511C9643,1700,Empty,Empty,Empty
2656,FA304714C0031,5700,Empty,Empty,Empty
2657,FA701208C0003,5700,Empty,Empty,Empty
2658,FA440708C0016,5700,Empty,Empty,Empty
2659,DJBP0202M3A30004,1540,Empty,Empty,Empty
2660,FA446016C0026,5700,Empty,Empty,Empty
2661,W9123624C2009,2100,Empty,Empty,Empty
2662,GS11P08MAM0003,4740,Empty,Empty,Empty
2663,W90U4210C4045,2100,Empty,Empty,Empty
2664,N4008010C4405,1700,Empty,Empty,Empty
2665,GS05P10SPC0050,4740,Empty,Empty,Empty
2666,V244C00156,3600,Empty,Empty,Empty
2667,W912QR13C0009,2100,Empty,Empty,Empty
2668,36C24818C0180,3600,0,$0,0%
2669,DAHA2203C0002,2100,Empty,Empty,Empty
2670,GS11P13MAC0046,4740,0,$0,0%
2671,W9128F12C0085,2100,0,$0,0%
2672,DJBP0700CC00000029,1540,,,
2673,47PE0520C0016,4740,,,
2674,GS03P12DXC0006,4740,0,$0,0%
2675,N6871105C5629,1700,Empty,Empty,Empty
2676,00564200301DV564C297,3600,,,
2677,N6945013C2266,1700,Empty,Empty,Empty
2678,FA930114C0020,5700,Empty,Empty,Empty
2679,GS09P16WNC7022,4740,0,$0,0%
2680,36C26119C0137,3600,,,
2681,36C24418C0016,3600,0,$0,0%
2682,47PM0225C0004,4740,1,$1.29 Million,80.7%
2683,GS04P16EXC7144,4740,,,
2684,DABJ1503C0043,2100,,,
2685,GS09P15KZC0002,4740,0,$0,0%
2686,SGE50014C0027,1900,,,
2687,N6945008C4080,1700,Empty,Empty,Empty
2688,W912L709C0004,2100,0,$0,0%
2689,VA261C0398,3600,0,$0,0%
2690,W5K9FH12C0050,2100,0,$0,0%
2691,47PK0823C0003,4740,,,
2692,VA248C1195,3600,0,$0,0%
2693,N3654A07C6003,1700,Empty,Empty,Empty
2694,VA24914C0099,3600,Empty,Empty,Empty
2695,N4008516C3621,1700,Empty,Empty,Empty
2696,N4008523C0060,1700,Empty,Empty,Empty
2697,W912DY16C0085,2100,0,$0,0%
2698,N0042122C0047,1700,Empty,Empty,Empty
2699,GS09P09WHC0020,4740,0,$0,0%
2700,FA486122C0018,5700,Empty,Empty,Empty
2701,N4008508C1012,1700,Empty,Empty,Empty
2702,FA282319CA050,5700,Empty,Empty,Empty
2703,FA468610C0038,5700,Empty,Empty,Empty
2704,FA441906C0008,5700,Empty,Empty,Empty
2705,HSCG4508N6WK168,7008,0,$0,0%
2706,GS10P16XCC7019,4740,,,
2707,INP12PC75940,1443,0,$0,0%
2708,V649C03898A,3600,0,$0,0%
2709,04N7200307D5004N7351,12C2,0,$0,0%
2710,GS10P16XCC7014,4740,0,$0,0%
2711,W912DR18C0036,2100,,,
2712,W912UM19C0022,2100,,,
2713,36C24921C0040,3600,0,$0,0%
2714,36C25622C0057,3600,0,$0,0%
2715,N6426724C0223,1700,Empty,Empty,Empty
2716,N6247310C2017,1700,Empty,Empty,Empty
