Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
FA330017C0032,5700,Empty,Empty,Empty
V786C737,3600,Empty,Empty,Empty
W9123823C0030,2100,Empty,Empty,Empty
47PE0324C0004,4740,Empty,Empty,Empty
W911S104C0017,2100,Empty,Empty,Empty
47PJ0020C0082,4740,Empty,Empty,Empty
VA101F16C2610,3600,Empty,Empty,Empty
V528A7C505,3600,Empty,Empty,Empty
VA246C0160,3600,Empty,Empty,Empty
47PD1220C0008,4740,Empty,Empty,Empty
N6945009C2320,1700,Empty,Empty,Empty
FA667514C0010,5700,Empty,Empty,Empty
47PD0221C0011,4740,Empty,Empty,Empty
DAHA4103C0023,2100,Empty,Empty,Empty
DTFAAC12C00028,6920,Empty,Empty,Empty
SGE50013C0055,1900,Empty,Empty,Empty
VA101CFMC0046,3600,Empty,Empty,Empty
N4008522C0032,1700,Empty,Empty,Empty
47PK1724C0002,4740,Empty,Empty,Empty
W9124N14C0019,2100,Empty,Empty,Empty
GS01P14BZC0020,4740,Empty,Empty,Empty
DOLJ109630140,1605,Empty,Empty,Empty
36C24619C0033,3600,Empty,Empty,Empty
DAHA0103C0007,2100,Empty,Empty,Empty
N6246706C5751,1700,Empty,Empty,Empty
GS03P10QMC0057,4740,Empty,Empty,Empty
GS04P07CXP0045,4740,Empty,Empty,Empty
HC102812C0061,97AK,Empty,Empty,Empty
INICMB00060031,1450,Empty,Empty,Empty
VA69D14C0186,3600,Empty,Empty,Empty
FA309919CA007,5700,Empty,Empty,Empty
W91QF423C0004,2100,Empty,Empty,Empty
FA460820C0010,5700,Empty,Empty,Empty
INPC3000040049,1443,Empty,Empty,Empty
W9127805C0049,2100,Empty,Empty,Empty
W912R119C0001,2100,Empty,Empty,Empty
W912HN06C0073,2100,Empty,Empty,Empty
FA488508C0003,5700,Empty,Empty,Empty
W912WJ10C0008,2100,Empty,Empty,Empty
GS11P12MKC0052,4740,Empty,Empty,Empty
N6247203C6030,1700,Empty,Empty,Empty
INR08CC308112,1425,Empty,Empty,Empty
N6945016C7145,1700,Empty,Empty,Empty
FA850106C0012,5700,Empty,Empty,Empty
GS04P10BVC0033,4740,Empty,Empty,Empty
N6871104C4118,1700,Empty,Empty,Empty
W90U4210C4145,2100,Empty,Empty,Empty
W912PQ09C0034,2100,Empty,Empty,Empty
GS04P10EXC0080,4740,Empty,Empty,Empty
VA69DC1450,3600,Empty,Empty,Empty
VA528RA0586,3600,Empty,Empty,Empty
VA25012C0067,3600,Empty,Empty,Empty
HDEC0312C0008,97AZ,Empty,Empty,Empty
W912PP13C0002,2100,Empty,Empty,Empty
FA810113C0012,5700,Empty,Empty,Empty
FA521508C0030,5700,Empty,Empty,Empty
VA528C0786,3600,Empty,Empty,Empty
VA248C1902,3600,Empty,Empty,Empty
47PL0118C0005,4740,Empty,Empty,Empty
N4008017C0501,1700,Empty,Empty,Empty
47PD0622C0008,4740,Empty,Empty,Empty
INP15PC00552,1443,Empty,Empty,Empty
N4008516C3631,1700,Empty,Empty,Empty
INP12PC40002,1443,Empty,Empty,Empty
GS02P16PVC7022,4740,Empty,Empty,Empty
GS04P04RDC0052,4740,Empty,Empty,Empty
VA24416C0439,3600,Empty,Empty,Empty
W911KB23C0023,2100,Empty,Empty,Empty
GS06P06TKC3003,4740,Empty,Empty,Empty
36C24822C0061,3600,Empty,Empty,Empty
W91QV106C0031,2100,Empty,Empty,Empty
DJB41302494,1540,Empty,Empty,Empty
SET10008C0674,1900,Empty,Empty,Empty
SWHARC08C0013,1900,Empty,Empty,Empty
VA261C0476,3600,Empty,Empty,Empty
VA245C0610,3600,Empty,Empty,Empty
VA541C0020,3600,Empty,Empty,Empty
GS09P12WRC0037,4740,Empty,Empty,Empty
SAQMMA13C0045,1900,Empty,Empty,Empty
INP16PC00431,1443,Empty,Empty,Empty
VA26216C0144,3600,Empty,Empty,Empty
AG443150443152000,12H2,Empty,Empty,Empty
W9126G08C0070,2100,Empty,Empty,Empty
140P2018C0035,1443,Empty,Empty,Empty
47PF0018C0139,4740,Empty,Empty,Empty
47PM0719C0017,4740,Empty,Empty,Empty
DJBP0617L1P10001,1540,Empty,Empty,Empty
V562C00149,3600,Empty,Empty,Empty
1232SC18C0061,12H2,Empty,Empty,Empty
VA691C0001,3600,Empty,Empty,Empty
N6945007C6835,1700,Empty,Empty,Empty
VA241C1652,3600,Empty,Empty,Empty
DOCSB134113CN0061,1341,Empty,Empty,Empty
AG4568C150044,12C2,Empty,Empty,Empty
N6246706C2930,1700,Empty,Empty,Empty
GS09P12WFC0042,4740,Empty,Empty,Empty
36C25820C0091,3600,Empty,Empty,Empty
N6945010C4591,1700,Empty,Empty,Empty
W9124M11C0024,2100,Empty,Empty,Empty
W912DQ19C4012,2100,Empty,Empty,Empty
36C25619C0128,3600,Empty,Empty,Empty
47PG0018C0001,4740,Empty,Empty,Empty
