,Unnamed: 0,Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
1159,1159,GS04P14EXC0153,4740,Empty,Empty,Empty
1160,1160,W912JM07C0018,2100,Empty,Empty,Empty
1161,1161,GS09P06KLC0018,4740,Empty,Empty,Empty
1162,1162,FA521518C9006,5700,Empty,Empty,Empty
1163,1163,47PK0519C0010,4740,Empty,Empty,Empty
1164,1164,W9126G22C0013,2100,Empty,Empty,Empty
1165,1165,19AQMM24C0104,1900,Empty,Empty,Empty
1166,1166,GS03P09AZC0043,4740,Empty,Empty,Empty
1167,1167,36C25821C0034,3600,Empty,Empty,Empty
1168,1168,GS09P15WNC7012,4740,Empty,Empty,Empty
1169,1169,F1162303C0025,5700,Empty,Empty,Empty
1170,1170,GS03P07CDC0036,4740,Empty,Empty,Empty
1171,1171,FA489707C3015,5700,Empty,Empty,Empty
1172,1172,VA250C0241,3600,Empty,Empty,Empty
1173,1173,VA248C1388,3600,Empty,Empty,Empty
1174,1174,89233120CNA000161,8900,Empty,Empty,Empty
1175,1175,W9115107C0070,2100,,,
1176,1176,GS04P15RRC0030,4740,Empty,Empty,Empty
1177,1177,140P1418C0017,1443,,,
1178,1178,GS11P12MAM0096,4740,,,
1179,1179,GSP1106YT0390,4740,,,
1180,1180,DTFAAC13C00036,6920,0,$0,0%
1181,1181,VA605C0013,3600,,,
1182,1182,W912HN19C4016,2100,,,
1183,1183,36C24220C0076,3600,,,
1184,1184,W912HP15C0014,2100,0,$0,0%
1185,1185,47PK0023C0012,4740,Empty,Empty,Empty
1186,1186,GS08P03JBD0071GSP0804JB0002,4740,Empty,Empty,Empty
1187,1187,N4008010C3034,1700,Empty,Empty,Empty
1188,1188,AG3142C140014,1205,0,$0,0%
1189,1189,VA691C0007,3600,0,$0,0%
1190,1190,FA890316C0001,5700,Empty,Empty,Empty
1191,1191,INP16PC00595,1443,Empty,Empty,Empty
1192,1192,70B01C19C00000161,7014,,,
1193,1193,FA480020C0007,5700,Empty,Empty,Empty
1194,1194,HSBP1011C00095,7014,,,
1195,1195,W91B4N15C8015,2100,Empty,Empty,Empty
1196,1196,V636A7C7138A,3600,Empty,Empty,Empty
1197,1197,DOCSB134113CN0072,1341,Empty,Empty,Empty
1198,1198,00503200301DV503C364,3600,Empty,Empty,Empty
1199,1199,GS09P06KLC3004,4740,,,
1200,1200,GS09P11WHM0028,4740,,,
1201,1201,47PK1919C0009,4740,Empty,Empty,Empty
1202,1202,2032H323C00035,2001,Empty,Empty,Empty
1203,1203,GS04P09EWC0130,4740,,,
1204,1204,V255657A40273,3600,0,$0,0%
1205,1205,INR11PC10015,1425,0,$0,0%
1206,1206,VA24615C0069,3600,0,$0,0%
1207,1207,SP330016C0042,97AS,Empty,Empty,Empty
1208,1208,GS11P10YTC0302,4740,,,
1209,1209,W9124B18C0005,2100,0,$0,0%
1210,1210,V506C729,3600,,,
1211,1211,DTFACN11C00123,6920,,,
1212,1212,GS11P14MKC0052,4740,0,$0,0%
1213,1213,FA481919CA030,5700,Empty,Empty,Empty
1214,1214,47PK0920C0015,4740,,,
1215,1215,GS06P16TNC7014,4740,0,$0,0%
1216,1216,47PE0721C0013,4740,,,
1217,1217,W91JA411C7047,2100,,,
1218,1218,W5J9JE12C0039,2100,Empty,Empty,Empty
1219,1219,VA256C0668,3600,Empty,Empty,Empty
1220,1220,W912NS11C0003,2100,Empty,Empty,Empty
1221,1221,V600C07648A,3600,Empty,Empty,Empty
1222,1222,HQ009504C0042,97F5,Empty,Empty,Empty
1223,1223,INP12PC40395,1443,Empty,Empty,Empty
1224,1224,VA26314C0089,3600,Empty,Empty,Empty
1225,1225,12905B19C0027,12H2,Empty,Empty,Empty
1226,1226,36C25620C0172,3600,Empty,Empty,Empty
1227,1227,N4425503C8018,1700,Empty,Empty,Empty
1228,1228,GS11P06YTC0246,4740,Empty,Empty,Empty
1229,1229,HQ003416C0003,97F5,Empty,Empty,Empty
1230,1230,AG0120C100013,12C2,0,$0,0%
1231,1231,W912BU11C0017,2100,Empty,Empty,Empty
1232,1232,W90U4210C4148,2100,,,
1233,1233,36C25518C0010,3600,Empty,Empty,Empty
1234,1234,GS08P10JBP0079,4740,,,
1235,1235,AG03J1C080015,12C2,0,$0,0%
1236,1236,W9124M09C0006,2100,,,
1237,1237,IND0407CT66280,1406,0,$0,0%
1238,1238,W917BK08C0035,2100,,,
1239,1239,GS06P11GYC0006,4740,,,
1240,1240,HSCG8206C3WCA25,7008,0,$0,0%
1241,1241,W911SG17C0039,2100,,,
1242,1242,36C24118C0059,3600,,,
1243,1243,47PF0019C0073,4740,,,
1244,1244,4146200309D504146322,12C2,,,
1245,1245,VA25115C0005,3600,0,$0,0%
1246,1246,140L0618C0038,1422,Empty,Empty,Empty
1247,1247,VA251C0522,3600,Empty,Empty,Empty
1248,1248,W9127S11C6019,2100,,,
1249,1249,VA263C0908,3600,Empty,Empty,Empty
1250,1250,0436CW10375,3300,Empty,Empty,Empty
1251,1251,W91GF509C8087,2100,Empty,Empty,Empty
1252,1252,47PF0020C0019,4740,Empty,Empty,Empty
1253,1253,GS03P07QPP0070,4740,,,
1254,1254,GS04P06CXC0049,4740,Empty,Empty,Empty
1255,1255,JFKC04C000122,3352,Empty,Empty,Empty
1256,1256,W912QR10C0051,2100,Empty,Empty,Empty
1257,1257,W9126G04C0010,2100,0,$0,0%
1258,1258,140P5322C0008,1443,,,
1259,1259,W912CN04C0081,2100,0,$0,0%
1260,1260,AE11862,1630,Empty,Empty,Empty
1261,1261,N4425507C0011,1700,Empty,Empty,Empty
1262,1262,INPC8000040908,1443,,,
1263,1263,VA24914C0178,3600,0,$0,0%
1264,1264,47PJ0024C0053,4740,,,
1265,1265,W912KC14C0014,2100,,,
1266,1266,GS03P04DXC0001,4740,Empty,Empty,Empty
1267,1267,DTFASO09C00302,6920,0,$0,0%
1268,1268,47PB0617C0004,4740,,,
1269,1269,GS11P15YMC0143,4740,Empty,Empty,Empty
1270,1270,W90U4210C4060,2100,Empty,Empty,Empty
1271,1271,W5J9JE12C0104,2100,Empty,Empty,Empty
1272,1272,V691C07308A,3600,Empty,Empty,Empty
1273,1273,V00241SC00002,3600,Empty,Empty,Empty
1274,1274,GS04P06EXC0167,4740,Empty,Empty,Empty
1275,1275,140P1423C0017,1443,Empty,Empty,Empty
1276,1276,47PD0623C0007,4740,Empty,Empty,Empty
1277,1277,W911SG07C0011,2100,Empty,Empty,Empty
1278,1278,GS11P08YEC0191,4740,Empty,Empty,Empty
1279,1279,W9126G20C0053,2100,Empty,Empty,Empty
1280,1280,36C26222C0132,3600,Empty,Empty,Empty
1281,1281,47PL0121C0007,4740,Empty,Empty,Empty
1282,1282,GS04P06RAC0076,4740,Empty,Empty,Empty
1283,1283,FA860108C0027,5700,Empty,Empty,Empty
1284,1284,W9133L16C0102,2100,Empty,Empty,Empty
1285,1285,DAHA4903C0003,2100,Empty,Empty,Empty
1286,1286,W912DR17C0036,2100,Empty,Empty,Empty
1287,1287,VA24615C0017,3600,Empty,Empty,Empty
1288,1288,HHSI102200600002C,7527,Empty,Empty,Empty
1289,1289,GS11P07YTP0234,4740,Empty,Empty,Empty
1290,1290,GS10P14XAC0010,4740,Empty,Empty,Empty
1291,1291,W91B4L12C0213,2100,Empty,Empty,Empty
1292,1292,VA673C90325,3600,Empty,Empty,Empty
1293,1293,36C24420C0075,3600,Empty,Empty,Empty
1294,1294,W912JM09C0028,2100,Empty,Empty,Empty
1295,1295,GS03P14QMC0020,4740,Empty,Empty,Empty
1296,1296,W912CN22C0020,2100,Empty,Empty,Empty
1297,1297,6923G223C000010,6938,,,
1298,1298,GS08P12JFC0021,4740,0,$0,0%
1299,1299,FA301615C0012,5700,Empty,Empty,Empty
1300,1300,GS08P09JAC0030,4740,,,
1301,1301,N4008516C1108,1700,Empty,Empty,Empty
1302,1302,47PE0218C0009,4740,,,
1303,1303,VA101CFMC0125,3600,0,$0,0%
1304,1304,N4008514C3528,1700,Empty,Empty,Empty
1305,1305,FA466418C0015,5700,Empty,Empty,Empty
1306,1306,W9127822C0033,2100,,,
1307,1307,W90U4210C4140,2100,0,$0,0%
1308,1308,GS11P07YTC0080,4740,0,$0,0%
1309,1309,00621200309DV621C552,3600,0,$0,0%
1310,1310,W912QR09C0082,2100,0,$0,0%
1311,1311,VA24512C0001,3600,0,$0,0%
1312,1312,GS11P15YTC0189,4740,Empty,Empty,Empty
1313,1313,INF60181RC044,1448,0,$0,0%
1314,1314,W917BG08C0049,2100,0,$0,0%
1315,1315,HDEC0320C0002,97AZ,Empty,Empty,Empty
1316,1316,N4008008C2055,1700,Empty,Empty,Empty
1317,1317,VA244C0426,3600,0,$0,0%
1318,1318,F3160103C0040,5700,Empty,Empty,Empty
1319,1319,W912L219C6001,2100,,,
1320,1320,47PK1222C0012,4740,,,
1321,1321,INPC2011090666,1443,0,$0,0%
1322,1322,VA260C0355,3600,0,$0,0%
1323,1323,W9123608C0078,2100,0,$0,0%
1324,1324,AG03K0C100026,12C2,Empty,Empty,Empty
1325,1325,W912QR13C0012,2100,418,$215.57 Million,"1,229.9%"
1326,1326,DEFE0006104,8900,Empty,Empty,Empty
1327,1327,DTFAEN14C00366,6920,0,$0,0%
1328,1328,VA257C0573,3600,Empty,Empty,Empty
1329,1329,DTFASA17C00579,6920,Empty,Empty,Empty
1330,1330,FA301013C0008,5700,Empty,Empty,Empty
1331,1331,W9123619C0033,2100,,,
1332,1332,9JNE200302D509SCP031F49,12C2,Empty,Empty,Empty
1333,1333,W911QY24C0059,2100,,,
1334,1334,W917BG06C0102,2100,,,
1335,1335,47PC0223C0007,4740,,,
1336,1336,W9124712C0005,2100,0,$0,0%
1337,1337,W912QR07C0030,2100,0,$0,0%
1338,1338,36C24219C0233,3600,0,$0,0%
1339,1339,VA251C0067,3600,,,
1340,1340,FA252123C0033,5700,Empty,Empty,Empty
1341,1341,W912HN05C0052,2100,0,$0,0%
1342,1342,V636C1064,3600,Empty,Empty,Empty
1343,1343,75N99024C00051,7529,Empty,Empty,Empty
1344,1344,W912PM20C0028,2100,Empty,Empty,Empty
1345,1345,N6945016C7140,1700,Empty,Empty,Empty
1346,1346,36C77622C0101,3600,Empty,Empty,Empty
1347,1347,NNL04AA27C,8000,Empty,Empty,Empty
1348,1348,N6247312C5005,1700,Empty,Empty,Empty
1349,1349,W912DR19C0079,2100,,,
1350,1350,W913FT04C0019,2100,Empty,Empty,Empty
1351,1351,N4008017C4455,1700,Empty,Empty,Empty
1352,1352,W91GEU09C6002,2100,,,
1353,1353,VA26314C0165,3600,0,$0,0%
1354,1354,47PK1220C0003,4740,,,
1355,1355,VA24412C0398,3600,5,"$457,855",43.5%
1356,1356,W9124Q08C0564,2100,,,
1357,1357,FA460810C0019,5700,Empty,Empty,Empty
1358,1358,VA263C0660,3600,Empty,Empty,Empty
1359,1359,DTFAAC10C00032,6920,,,
1360,1360,GS09P12WCC0003,4740,,,
1361,1361,GS04P15RRC0004,4740,,,
1362,1362,AG4419C100604,12C2,Empty,Empty,Empty
1363,1363,GS03P15QAP0019,4740,Empty,Empty,Empty
1364,1364,VA786A14C0028,3600,Empty,Empty,Empty
1365,1365,VA24517C0135,3600,Empty,Empty,Empty
1366,1366,W911SG11C0060,2100,Empty,Empty,Empty
1367,1367,AG32SDC150036,12H2,Empty,Empty,Empty
1368,1368,INP15PC00814,1443,,,
1369,1369,GS05P17SVC0027,4740,,,
1370,1370,W5K9FH12C0180,2100,Empty,Empty,Empty
1371,1371,HSFE0311C0008,7022,Empty,Empty,Empty
1372,1372,GS09P11WRC0058,4740,0,$0,0%
1373,1373,W912QR09C0071,2100,Empty,Empty,Empty
1374,1374,N4008014C3522,1700,Empty,Empty,Empty
1375,1375,VA241C0150,3600,,,
1376,1376,TOS08068,2001,Empty,Empty,Empty
1377,1377,W911KB10C0004,2100,0,$0,0%
1378,1378,DTFAAC11C00006,6920,,,
1379,1379,VA25614C0222,3600,0,$0,0%
1380,1380,W564KV16C0124,2100,,,
1381,1381,GS11P11MMC0007,4740,Empty,Empty,Empty
1382,1382,GS04P16EXC7108,4740,0,$0,0%
1383,1383,W91B4M09C0011,2100,Empty,Empty,Empty
1384,1384,W912QR10C0021,2100,0,$0,0%
1385,1385,N4008507C4432,1700,Empty,Empty,Empty
1386,1386,GS06P03GYC0007,4740,Empty,Empty,Empty
1387,1387,HSFEEM10C0390,7022,Empty,Empty,Empty
1388,1388,W9124B09C0011,2100,,,
1389,1389,DABJ1503C0030,2100,0,$0,0%
1390,1390,VA263C0389,3600,0,$0,0%
1391,1391,W912L114C0019,2100,0,$0,0%
1392,1392,W912PL19C0038,2100,,,
1393,1393,VA256C1433,3600,4,"$278,499",56.2%
1394,1394,V605C05228A,3600,Empty,Empty,Empty
1395,1395,VA528C0719,3600,Empty,Empty,Empty
1396,1396,36C25022C0281,3600,Empty,Empty,Empty
1397,1397,W912QR11C0064,2100,Empty,Empty,Empty
1398,1398,1333ND22CNB190032,1341,Empty,Empty,Empty
1399,1399,V623C711,3600,Empty,Empty,Empty
1400,1400,GS11P17MAC0008,4740,Empty,Empty,Empty
1401,1401,V564C343,3600,Empty,Empty,Empty
1402,1402,VA246C0309,3600,Empty,Empty,Empty
1403,1403,TDASA2008410104,1153,Empty,Empty,Empty
1404,1404,GS11P11YEC0130,4740,Empty,Empty,Empty
1405,1405,75H70123C00022,7527,Empty,Empty,Empty
1406,1406,GS07P07UFC0079,4740,Empty,Empty,Empty
1407,1407,V605C07418A,3600,Empty,Empty,Empty
1408,1408,33330219CF0010332,3300,Empty,Empty,Empty
1409,1409,W912L511C0101,2100,Empty,Empty,Empty
1410,1410,W917BE08C0008,2100,Empty,Empty,Empty
1411,1411,140F0121C0022,1448,Empty,Empty,Empty
1412,1412,VA258RA0395,3600,Empty,Empty,Empty
1413,1413,DJBX00015,1540,Empty,Empty,Empty
1414,1414,697DCK18C00310,6920,Empty,Empty,Empty
1415,1415,W912DS22C0004,2100,Empty,Empty,Empty
1416,1416,DOCSB134105C0032,1341,Empty,Empty,Empty
1417,1417,SGE50006C1085,1900,Empty,Empty,Empty
1418,1418,VA263C1297,3600,Empty,Empty,Empty
1419,1419,W912DR10C0005,2100,Empty,Empty,Empty
1420,1420,GS11P12ZGC0027,4740,Empty,Empty,Empty
1421,1421,VA255C0167,3600,,,
1422,1422,VA250C0251,3600,0,$0,0%
1423,1423,N6247309C1849,1700,Empty,Empty,Empty
1424,1424,VA24817C0153,3600,Empty,Empty,Empty
1425,1425,47PK0523C0007,4740,Empty,Empty,Empty
1426,1426,GS11P04YTC0323,4740,,,
1427,1427,W9128F09C0049,2100,Empty,Empty,Empty
1428,1428,VA257C0529,3600,0,$0,0%
1429,1429,FA487724C0028,5700,Empty,Empty,Empty
1430,1430,GS09P13WKC0010,4740,1,"$37,800",41.6%
1431,1431,33330223CF0010522,3300,,,
1432,1432,47PE0221C0003,4740,,,
1433,1433,36C77624C0075,3600,0,$0,0%
1434,1434,GS05P14SLC0071,4740,,,
1435,1435,VA257C0215,3600,,,
1436,1436,140R6019C0018,1425,Empty,Empty,Empty
1437,1437,W911KB20C0002,2100,,,
1438,1438,N6871103C2368,1700,Empty,Empty,Empty
1439,1439,W912L914C0003,2100,0,$0,0%
1440,1440,VA244C1010,3600,0,$0,0%
1441,1441,AG94TZC060022,12C2,0,$0,0%
1442,1442,W91B4M09C4184,2100,0,$0,0%
1443,1443,V249C00278AWO14C60150,3600,0,$0,0%
1444,1444,N4008009C4463,1700,Empty,Empty,Empty
1445,1445,VA246C0639,3600,0,$0,0%
1446,1446,GS09P16WBC7033,4740,0,$0,0%
1447,1447,GS11P12YEC0035,4740,,,
1448,1448,FA500422C0015,5700,Empty,Empty,Empty
1449,1449,47PK0923C0022,4740,,,
1450,1450,W914NS05C8407,2100,,,
1451,1451,VA24612C0036,3600,0,$0,0%
1452,1452,F2860903C0006,5700,Empty,Empty,Empty
1453,1453,W912DR15C0036,2100,,,
1454,1454,W9123804C0010,2100,,,
1455,1455,N4008308C1051,1700,Empty,Empty,Empty
1456,1456,VA263C0264,3600,0,$0,0%
1457,1457,VA263C0463,3600,0,$0,0%
1458,1458,GS04P09RAC0052,4740,,,
1459,1459,W912CL11C0034,2100,0,$0,0%
1460,1460,SAQMMA17C0235,1900,0,$0,0%
1461,1461,W912PP07C0022,2100,,,
1462,1462,140P1423C0018,1443,,,
1463,1463,W912CN12C0024,2100,Empty,Empty,Empty
1464,1464,GS08P08JBP0141,4740,Empty,Empty,Empty
1465,1465,VA248C1534,3600,Empty,Empty,Empty
1466,1466,W917BG08C0053,2100,,,
1467,1467,ING10PC00142,1434,Empty,Empty,Empty
1468,1468,V69DC8738A,3600,0,$0,0%
1469,1469,47PE0218C0014,4740,,,
1470,1470,DTFAAC07C00033,6920,,,
1471,1471,W912NR17C0004,2100,0,$0,0%
1472,1472,12639519C0081,12K3,,,
1473,1473,140P2022C0065,1443,,,
1474,1474,47PM1122C0003,4740,,,
1475,1475,DACA4703C0015,2100,,,
1476,1476,FA452821C0003,5700,Empty,Empty,Empty
1477,1477,GSP1109YTC0119,4740,,,
1478,1478,12854419C0006,12C2,Empty,Empty,Empty
1479,1479,GS03P16QAC7030,4740,,,
1480,1480,36C25921C0026,3600,Empty,Empty,Empty
1481,1481,N4008521C0018,1700,Empty,Empty,Empty
1482,1482,N4008010C3009,1700,Empty,Empty,Empty
1483,1483,SAQMMA08C0251,1900,,,
1484,1484,VA69DC0780,3600,,,
1485,1485,DJB30803046,1540,0,$0,0%
1486,1486,36C25019C0018,3600,0,$0,0%
1487,1487,W91QV119C0087,2100,,,
1488,1488,W912QR12C0025,2100,0,$0,0%
1489,1489,W912HN04C0005,2100,0,$0,0%
1490,1490,DTFANE10C00080,6920,0,$0,0%
1491,1491,36C25023C0190,3600,,,
1492,1492,W91B4M09C7166,2100,Empty,Empty,Empty
1493,1493,VA69D14C0137,3600,,,
1494,1494,VA24515C0100,3600,Empty,Empty,Empty
1495,1495,697DCK24C00308,6920,Empty,Empty,Empty
1496,1496,GS05P03GAC0070,4740,Empty,Empty,Empty
1497,1497,W91B4N12C8019,2100,Empty,Empty,Empty
1498,1498,36C25918C0064,3600,Empty,Empty,Empty
1499,1499,SAQMMA16C0116,1900,,,
1500,1500,W9124B19C0007,2100,,,
1501,1501,12805B22C0010,12H2,,,
1502,1502,GS11P03ZGC0327,4740,0,$0,0%
1503,1503,VA24815C0179,3600,,,
1504,1504,N4008514C6877,1700,Empty,Empty,Empty
1505,1505,GS11P13YEC0099,4740,0,$0,0%
1506,1506,GS05P09SMC0007,4740,0,$0,0%
1507,1507,VA261C0996,3600,0,$0,0%
1508,1508,FA441705C0114,5700,Empty,Empty,Empty
1509,1509,SX000200309DGS05P03SXM0069,4740,Empty,Empty,Empty
1510,1510,V10N3C3128A,3600,Empty,Empty,Empty
1511,1511,W912HN09C0045,2100,Empty,Empty,Empty
1512,1512,W912LC09C0002,2100,Empty,Empty,Empty
1513,1513,VA246C0086,3600,Empty,Empty,Empty
1514,1514,W5J9JE16C0006,2100,Empty,Empty,Empty
1515,1515,36C78624C0014,3600,Empty,Empty,Empty
1516,1516,W9126G08C0075,2100,Empty,Empty,Empty
1517,1517,VA24316C0118,3600,Empty,Empty,Empty
1518,1518,GS11P12YTC0155,4740,Empty,Empty,Empty
1519,1519,VA244C0517,3600,Empty,Empty,Empty
1520,1520,VA244C1107,3600,Empty,Empty,Empty
1521,1521,VA25112C0096,3600,Empty,Empty,Empty
1522,1522,GS11P09YEC0111,4740,Empty,Empty,Empty
1523,1523,W912CL14C0007,2100,Empty,Empty,Empty
1524,1524,GS02P05PGM3008,4740,Empty,Empty,Empty
1525,1525,47PM0423C0011,4740,Empty,Empty,Empty
1526,1526,W912PP11C0046,2100,Empty,Empty,Empty
1527,1527,DJFA2D1000501,1549,Empty,Empty,Empty
1528,1528,47PE0218C0035,4740,Empty,Empty,Empty
1529,1529,VA250C0682,3600,Empty,Empty,Empty
1530,1530,W912QR16C0025,2100,Empty,Empty,Empty
1531,1531,19AQMM22C0163,1900,Empty,Empty,Empty
1532,1532,36C24124C0054,3600,Empty,Empty,Empty
1533,1533,VA248C1510,3600,Empty,Empty,Empty
1534,1534,AE137210000410,1630,Empty,Empty,Empty
1535,1535,AG32SDC170046,12H2,,,
1536,1536,W9124B20C0027,2100,,,
1537,1537,W912DY13C0039,2100,0,$0,0%
1538,1538,GS11P09YTC0103,4740,,,
1539,1539,36C25923C0018,3600,0,$0,0%
1540,1540,VA248RA1372,3600,,,
1541,1541,W912HN08C0056,2100,0,$0,0%
1542,1542,W912R112C0011,2100,Empty,Empty,Empty
1543,1543,FA481919CA001,5700,Empty,Empty,Empty
1544,1544,47PB0620C0020,4740,,,
1545,1545,140F0418C0015,1448,,,
1546,1546,GS09P08WRC0027,4740,Empty,Empty,Empty
1547,1547,VA258C0125,3600,0,$0,0%
1548,1548,GS09P11WFC0008,4740,0,$0,0%
1549,1549,W912QR15C0040,2100,0,$0,0%
1550,1550,GS08P08VEC0043,4740,Empty,Empty,Empty
1551,1551,FA485516C0038,5700,Empty,Empty,Empty
1552,1552,GS11P17MAC0003,4740,,,
1553,1553,N6945010C4119,1700,Empty,Empty,Empty
1554,1554,W911KB23C0013,2100,,,
1555,1555,DOCSB134117CN0047,1341,,,
1556,1556,W912DW24C0021,2100,,,
1557,1557,697DCK23C00300,6920,,,
1558,1558,36S79719C0008,3600,Empty,Empty,Empty
1559,1559,W9126G16C0059,2100,Empty,Empty,Empty
1560,1560,W90YVD13C0009,2100,Empty,Empty,Empty
1561,1561,W91B4M10C4019,2100,Empty,Empty,Empty
1562,1562,GS11P10MAM0562,4740,0,$0,0%
1563,1563,GS11P12YEC0105,4740,Empty,Empty,Empty
1564,1564,DOCWC133W15CN0149,1330,,,
1565,1565,GS11P08MKM0076,4740,Empty,Empty,Empty
1566,1566,W9124717C0043,2100,Empty,Empty,Empty
1567,1567,GS08P12JFC0119,4740,Empty,Empty,Empty
1568,1568,GS07P10UKC0025,4740,0,$0,0%
1569,1569,GS11P09NWC0028,4740,Empty,Empty,Empty
1570,1570,GS11P13MAM0092,4740,Empty,Empty,Empty
1571,1571,VA244C1502,3600,Empty,Empty,Empty
1572,1572,DOCYB132314CN0030,1323,Empty,Empty,Empty
1573,1573,F6460503C0030,5700,Empty,Empty,Empty
1574,1574,VA263C1391,3600,0,$0,0%
1575,1575,VA246C0236,3600,,,
1576,1576,FA581915C0006,5700,Empty,Empty,Empty
1577,1577,AG82A7C170024,12C2,,,
1578,1578,47PK1518C0011,4740,,,
1579,1579,36C24920C0139,3600,Empty,Empty,Empty
1580,1580,140P8524C0001,1443,Empty,Empty,Empty
1581,1581,VA25112C0112,3600,Empty,Empty,Empty
1582,1582,W91QV112C0027,2100,Empty,Empty,Empty
1583,1583,GS01P05BZC3028,4740,Empty,Empty,Empty
1584,1584,GS11P14YTC0021,4740,Empty,Empty,Empty
1585,1585,47PK0918C0004,4740,Empty,Empty,Empty
1586,1586,W912JD09C0001,2100,Empty,Empty,Empty
1587,1587,47PE0618C0045,4740,Empty,Empty,Empty
1588,1588,36C26319C0197,3600,Empty,Empty,Empty
1589,1589,FA304710C0101,5700,Empty,Empty,Empty
1590,1590,W50S7722C0002,2100,Empty,Empty,Empty
1591,1591,GS11P05ZGC0186,4740,Empty,Empty,Empty
1592,1592,W9126G18C0101,2100,0,$0,0%
1593,1593,W9123810C0039,2100,Empty,Empty,Empty
1594,1594,N4008518C0633,1700,Empty,Empty,Empty
1595,1595,GS11P07YTC0247,4740,0,$0,0%
1596,1596,VA256C0653,3600,0,$0,0%
1597,1597,VA26312C0129,3600,0,$0,0%
1598,1598,AG02RCC170025,12C2,,,
1599,1599,W9124B20C0018,2100,Empty,Empty,Empty
1600,1600,FA706022C0020,5700,Empty,Empty,Empty
1601,1601,W912DR20C0076,2100,0,$0,0%
1602,1602,FA281608C0024,5700,Empty,Empty,Empty
1603,1603,70US0924C70092692,7009,,,
1604,1604,INF70181AC816,1448,0,$0,0%
1605,1605,INP16PC00534,1443,,,
1606,1606,W9124J16C0051,2100,,,
1607,1607,36C26320C0155,3600,0,$0,0%
1608,1608,N6871103C2225,1700,Empty,Empty,Empty
1609,1609,GS04P15EXC0082,4740,0,$0,0%
1610,1610,W50S9724C0004,2100,0,$0,0%
1611,1611,W5J9JE11C0114,2100,Empty,Empty,Empty
1612,1612,47PG0420C0006,4740,,,
1613,1613,AG511450511442000,12H2,Empty,Empty,Empty
1614,1614,FA449720C0002,5700,Empty,Empty,Empty
1615,1615,GS08P05JAC0050,4740,Empty,Empty,Empty
1616,1616,FA283522C0012,5700,Empty,Empty,Empty
1617,1617,V693C484,3600,,,
1618,1618,N6945009C3599,1700,Empty,Empty,Empty
1619,1619,47PJ0023C0048,4740,Empty,Empty,Empty
1620,1620,36C24818C0200,3600,Empty,Empty,Empty
1621,1621,89243320CFE000061,8900,,,
1622,1622,N6247306C5001,1700,Empty,Empty,Empty
1623,1623,FA465915CC006,5700,Empty,Empty,Empty
1624,1624,DJB21504004,1540,,,
1625,1625,VA688C0016,3600,Empty,Empty,Empty
1626,1626,HHSD200200615899C,7523,0,$0,0%
1627,1627,GS10P04XJC0046,4740,0,$0,0%
1628,1628,W911SG06C0026,2100,Empty,Empty,Empty
1629,1629,W919QA12C0028,2100,0,$0,0%
1630,1630,N6945009C1756,1700,Empty,Empty,Empty
1631,1631,GS09P10WFC0032,4740,,,
1632,1632,VA262C12061,3600,0,$0,0%
1633,1633,VA69D17C0028,3600,0,$0,0%
1634,1634,N6871104C4215,1700,Empty,Empty,Empty
1635,1635,HSCG8317CPBA008,7008,,,
1636,1636,47PH0818C0002,4740,Empty,Empty,Empty
1637,1637,N6945015C5361,1700,Empty,Empty,Empty
1638,1638,N6247309C1811,1700,Empty,Empty,Empty
1639,1639,TOS10F021,2001,Empty,Empty,Empty
1640,1640,DJBP0202N3A30003,1540,Empty,Empty,Empty
1641,1641,W912HN04C0036,2100,Empty,Empty,Empty
1642,1642,GS08P13JBC0091,4740,Empty,Empty,Empty
1643,1643,N6945019C5661,1700,Empty,Empty,Empty
1644,1644,W917BG05C0181,2100,Empty,Empty,Empty
1645,1645,140P5118C0006,1443,Empty,Empty,Empty
1646,1646,47PK0520C0001,4740,Empty,Empty,Empty
1647,1647,GS11P07YTC0188,4740,Empty,Empty,Empty
1648,1648,DABK3703C0004,2100,Empty,Empty,Empty
1649,1649,VA24413C0347,3600,Empty,Empty,Empty
1650,1650,W912QR17C0039,2100,Empty,Empty,Empty
1651,1651,47PC0221C0004,4740,Empty,Empty,Empty
1652,1652,NNM13AA58C,8000,Empty,Empty,Empty
1653,1653,47PM0518C0035,4740,Empty,Empty,Empty
1654,1654,W9124Q07C0609,2100,Empty,Empty,Empty
1655,1655,W912DS12C0033,2100,Empty,Empty,Empty
1656,1656,36C25523C0079,3600,Empty,Empty,Empty
1657,1657,VA255C1414,3600,Empty,Empty,Empty
1658,1658,AG2B46C160007,12C3,Empty,Empty,Empty
1659,1659,GS04P17CXC0018,4740,Empty,Empty,Empty
1660,1660,N4008508C1026,1700,Empty,Empty,Empty
1661,1661,47PD0220C0009,4740,Empty,Empty,Empty
1662,1662,N6945017C6005,1700,Empty,Empty,Empty
1663,1663,47PD0218C0020,4740,Empty,Empty,Empty
1664,1664,VA245C0626,3600,,,
1665,1665,FA667511C0012,5700,Empty,Empty,Empty
1666,1666,47PG0723C0002,4740,,,
1667,1667,VA255C1325,3600,0,$0,0%
1668,1668,SSR10006C1059,1900,0,$0,0%
1669,1669,W912CL07C0009,2100,0,$0,0%
1670,1670,47PE0222C0045,4740,,,
