Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
VA528C0555,3600,0,$0,0%
HSBP1016C00147,7014,,,
140P5118C0028,1443,,,
36C25019C0028,3600,,,
W912BU20C0028,2100,,,
W912BV12C0010,2100,0,$0,0%
INPC5320080065,1443,0,$0,0%
W913FT09C0018,2100,0,$0,0%
36C24718C0041,3600,,,
47PE0617C0018,4740,,,
W9124808C0012,2100,,,
GS11P12YEC0097,4740,0,$0,0%
47PK0621C0005,4740,,,
GS09P16WBC7027,4740,0,$0,0%
W912HP18C3003,2100,,,
W912QR20C0036,2100,,,
VA25915C0031,3600,0,$0,0%
W917BE05C0006,2100,0,$0,0%
NNC13CA15C,8000,,,
47PK0620C0007,4740,,,
DOLJ109630262,1605,,,
W9128A16C0016,2100,,,
697DCK18C00339,6920,,,
W9128F18C0003,2100,,,
W5J9JE15C0026,2100,,,
697DCK22C00040,6920,,,
GS08P15JAC7005,4740,0,$0,0%
GS05P02GBC0080,4740,0,$0,0%
GS01P05NFC3019,4740,,,
SGT50016C0011,1900,,,
INF401816C023,1448,0,$0,0%
94TZ200306D5094TZ30156,12C2,,,
W9124720C0010,2100,0,$0,0%
GS10P15XCC0013,4740,0,$0,0%
W9128F24C0009,2100,,,
W91B4M10C4028,2100,0,$0,0%
GS11P09MAC0313,4740,0,$0,0%
VA257C0181,3600,,,
HSFEMW10C0446,7022,0,$0,0%
47PF0021C0011,4740,,,
W912DR19C0062,2100,,,
47PF0022C0006,4740,,,
W91QV108C0017,2100,0,$0,0%
VA25613C0231,3600,,,
VA26314C0074,3600,0,$0,0%
AG82CSC170007,12C2,,,
V689C989,3600,,,
12619718C0003,12K3,,,
36C24222C0068,3600,0,$0,0%
GS07P12HHC0034,4740,0,$0,0%
47PM0324C0005,4740,,,
VA255C1400,3600,,,
VA25613C0295,3600,0,$0,0%
SAQMMA13C0237,1900,0,$0,0%
W912QR09C0095,2100,0,$0,0%
W912BU20C0040,2100,,,
GS08P15JBC7008,4740,,,
VA528C0770,3600,,,
GS07P14URP0041,4740,0,$0,0%
W912KC09C0020,2100,0,$0,0%
INPC124405B012,1443,0,$0,0%
W917BK06C0034,2100,0,$0,0%
DEEM0000125,8900,0,$0,0%
W912CF08C0013,2100,,,
DOLJ079625494,1605,,,
36C77624C0168,3600,,,
V678C08118A,3600,0,$0,0%
W919QA10C0086,2100,,,
GS06P13TEC0031,4740,,,
75N99023C00036,7529,,,
GS09P09WFC0017,4740,0,$0,0%
GS03P04DXC0021,4740,0,$0,0%
V689C972,3600,0,$0,0%
36C24221C0122,3600,0,$0,0%
V255C657A50317,3600,,,
1256A118C0002,12C2,,,
AG82FTC100023,12C2,,,
GS05P10FBM0049,4740,,,
36C25219C0108,3600,0,$0,0%
VA256C1442,3600,,,
GS11P08YEC0115,4740,0,$0,0%
V671C6928A,3600,,,
GS11P09MAM0304,4740,,,
W913FT06C0043,2100,0,$0,0%
GS07P14UTC0021,4740,,,
INF14PC00268,1448,0,$0,0%
F0536CW10114,3300,,,
W917BK06C0025,2100,,,
VA24712C0236,3600,0,$0,0%
W912CN14C0013,2100,,,
W9124B09C0024,2100,0,$0,0%
36C25218C0039,3600,,,
36C24918C0040,3600,,,
GS04P16EXC7134,4740,,,
W9128A14C0007,2100,,,
W912DW09C0002,2100,,,
V671C6538A,3600,,,
W912HP17C6000,2100,,,
GS05P15SIC7009,4740,0,$0,0%
VA256RA0688,3600,0,$0,0%
VA243RA0751,3600,0,$0,0%
VA263C0075,3600,,,
W913FT09C0032,2100,0,$0,0%
W912DW12C0043,2100,0,$0,0%
HSCG3109N623117,7008,0,$0,0%
GS04P12EXC0101,4740,,,
GS03P17QNC0001,4740,,,
VA241C0818,3600,,,
140P4320C0027,1443,,,
W9124720C0068,2100,,,
GS04P11EXC0024,4740,0,$0,0%
NGA04871DR08,3355,,,
W91QV119C0132,2100,,,
VA262C0620,3600,,,
GS04P10RAC0144,4740,,,
AG82BHC120016,12C2,,,
47PE0520C0001,4740,,,
W912HP20C1008,2100,,,
GS11P06YTC0209,4740,,,
33330218CF0010452,3300,,,
AG5114C100062,12H2,,,
INPC2011090305,1443,0,$0,0%
VA248C1205,3600,0,$0,0%
GS11P11MAM0119,4740,0,$0,0%
W912DS07C0010,2100,0,$0,0%
W912QR12C0059,2100,0,$0,0%
W9124N08C0019,2100,,,
47PF0018C0135,4740,,,
VA24514C0103,3600,,,
GS11P05YTC0267,4740,0,$0,0%
W912QR19C0024,2100,,,
W9133L19C0011,2100,,,
F07CC10492,3300,0,$0,0%
GS03P12DXC0015,4740,0,$0,0%
VA25913C0271,3600,0,$0,0%
GS05P06FBC0005,4740,,,
W91QV118C0126,2100,0,$0,0%
12405B22C0008,12H2,,,
HSCG3109N623023,7008,,,
47PB0418C0016,4740,,,
47PA0318C0017,4740,,,
W912CL11C0003,2100,0,$0,0%
47PE0219C0005,4740,,,
140F0419C0021,1448,,,
NNG15WA61C,8000,,,
36C77622C0006,3600,0,$0,0%
W9124207C0003,2100,0,$0,0%
W9127807C0019,2100,0,$0,0%
47PE0717C0003,4740,,,
AG32SDC170020,12H2,,,
GY000200210DGS06P03GYD0004,4740,,,
W912LA24C0002,2100,,,
SDR86009C0006,1900,0,$0,0%
47PG0720C0004,4740,,,
VA26113C0053,3600,0,$0,0%
W912DR17C0060,2100,,,
W9128F14C0064,2100,0,$0,0%
75H70120C00008,7527,,,
AG32SCC150033,12H2,0,$0,0%
WC000200303DGS09P03WCC0058,4740,,,
W9124217C0009,2100,,,
697DCK19C00215,6920,,,
W912QR20C0011,2100,,,
VA25915C0289,3600,0,$0,0%
36C25024C0124,3600,0,$0,0%
V255C589A70269,3600,0,$0,0%
VA249C0698,3600,0,$0,0%
W911KB18C0007,2100,,,
GS11P05ZGC0012,4740,,,
GS10P12XJC0035,4740,0,$0,0%
140P2018C0039,1443,,,
47PG0218C0004,4740,,,
VA248C1411,3600,,,
36C26224C0198,3600,,,
140FC124C0007,1448,,,
W9123622C5020,2100,,,
NNG15WA62C,8000,,,
80KSC023CA010,8000,,,
GS11P07MAC0019,4740,0,$0,0%
W9123607C0055,2100,0,$0,0%
GS08P16JCC7010,4740,0,$0,0%
VA24414C0437,3600,0,$0,0%
W912QR11C0002,2100,0,$0,0%
GS05P07SEC3027,4740,0,$0,0%
VA244RA0957,3600,,,
VA24412C0222,3600,0,$0,0%
VA244C0357,3600,,,
GS02P16PWC7032,4740,,,
36C26224C0051,3600,,,
W9123610C0025,2100,0,$0,0%
W91GEY10C0007,2100,,,
W919QC10C0004,2100,,,
W911KB14C0007,2100,,,
75D30119C05621,7523,,,
W91B4P10C0054,2100,,,
W912NS04C5001,2100,0,$0,0%
W9126G12C0043,2100,0,$0,0%
04T1200307D5004T1350,12C2,0,$0,0%
00006200309D601813C332,1448,,,
140P2024C0081,1443,,,
W912BV16C0043,2100,,,
W91B4N11CRP01,2100,0,$0,0%
VA250C0412,3600,,,
47PM0318C0009,4740,,,
HHSD200201033824C,7523,,,
W9115107C0070,2100,,,
140P1418C0017,1443,,,
GS11P12MAM0096,4740,,,
GSP1106YT0390,4740,,,
DTFAAC13C00036,6920,0,$0,0%
VA605C0013,3600,,,
W912HN19C4016,2100,,,
36C24220C0076,3600,,,
W912HP15C0014,2100,0,$0,0%
AG3142C140014,1205,0,$0,0%
VA691C0007,3600,0,$0,0%
70B01C19C00000161,7014,,,
HSBP1011C00095,7014,,,
GS09P06KLC3004,4740,,,
GS09P11WHM0028,4740,,,
GS04P09EWC0130,4740,,,
V255657A40273,3600,0,$0,0%
INR11PC10015,1425,0,$0,0%
VA24615C0069,3600,0,$0,0%
GS11P10YTC0302,4740,,,
W9124B18C0005,2100,0,$0,0%
V506C729,3600,,,
DTFACN11C00123,6920,,,
GS11P14MKC0052,4740,0,$0,0%
47PK0920C0015,4740,,,
GS06P16TNC7014,4740,0,$0,0%
47PE0721C0013,4740,,,
W91JA411C7047,2100,,,
AG0120C100013,12C2,0,$0,0%
W90U4210C4148,2100,,,
GS08P10JBP0079,4740,,,
AG03J1C080015,12C2,0,$0,0%
W9124M09C0006,2100,,,
IND0407CT66280,1406,0,$0,0%
W917BK08C0035,2100,,,
GS06P11GYC0006,4740,,,
HSCG8206C3WCA25,7008,0,$0,0%
W911SG17C0039,2100,,,
36C24118C0059,3600,,,
47PF0019C0073,4740,,,
4146200309D504146322,12C2,,,
VA25115C0005,3600,0,$0,0%
W9127S11C6019,2100,,,
GS03P07QPP0070,4740,,,
W9126G04C0010,2100,0,$0,0%
140P5322C0008,1443,,,
W912CN04C0081,2100,0,$0,0%
INPC8000040908,1443,,,
VA24914C0178,3600,0,$0,0%
47PJ0024C0053,4740,,,
W912KC14C0014,2100,,,
DTFASO09C00302,6920,0,$0,0%
47PB0617C0004,4740,,,
6923G223C000010,6938,,,
GS08P12JFC0021,4740,0,$0,0%
GS08P09JAC0030,4740,,,
47PE0218C0009,4740,,,
VA101CFMC0125,3600,0,$0,0%
W9127822C0033,2100,,,
W90U4210C4140,2100,0,$0,0%
GS11P07YTC0080,4740,0,$0,0%
00621200309DV621C552,3600,0,$0,0%
W912QR09C0082,2100,0,$0,0%
VA24512C0001,3600,0,$0,0%
INF60181RC044,1448,0,$0,0%
W917BG08C0049,2100,0,$0,0%
VA244C0426,3600,0,$0,0%
W912L219C6001,2100,,,
47PK1222C0012,4740,,,
INPC2011090666,1443,0,$0,0%
VA260C0355,3600,0,$0,0%
W9123608C0078,2100,0,$0,0%
W912QR13C0012,2100,418,$215.57 Million,"1,229.9%"
DTFAEN14C00366,6920,0,$0,0%
W9123619C0033,2100,,,
W911QY24C0059,2100,,,
W917BG06C0102,2100,,,
47PC0223C0007,4740,,,
W9124712C0005,2100,0,$0,0%
W912QR07C0030,2100,0,$0,0%
36C24219C0233,3600,0,$0,0%
VA251C0067,3600,,,
W912HN05C0052,2100,0,$0,0%
W912DR19C0079,2100,,,
W91GEU09C6002,2100,,,
VA26314C0165,3600,0,$0,0%
47PK1220C0003,4740,,,
VA24412C0398,3600,5,"$457,855",43.5%
W9124Q08C0564,2100,,,
DTFAAC10C00032,6920,,,
GS09P12WCC0003,4740,,,
GS04P15RRC0004,4740,,,
INP15PC00814,1443,,,
GS05P17SVC0027,4740,,,
GS09P11WRC0058,4740,0,$0,0%
VA241C0150,3600,,,
W911KB10C0004,2100,0,$0,0%
DTFAAC11C00006,6920,,,
VA25614C0222,3600,0,$0,0%
W564KV16C0124,2100,,,
GS04P16EXC7108,4740,0,$0,0%
W912QR10C0021,2100,0,$0,0%
W9124B09C0011,2100,,,
DABJ1503C0030,2100,0,$0,0%
VA263C0389,3600,0,$0,0%
W912L114C0019,2100,0,$0,0%
W912PL19C0038,2100,,,
VA256C1433,3600,4,"$278,499",56.2%
VA255C0167,3600,,,
VA250C0251,3600,0,$0,0%
GS11P04YTC0323,4740,,,
VA257C0529,3600,0,$0,0%
GS09P13WKC0010,4740,1,"$37,800",41.6%
33330223CF0010522,3300,,,
47PE0221C0003,4740,,,
36C77624C0075,3600,0,$0,0%
GS05P14SLC0071,4740,,,
VA257C0215,3600,,,
W911KB20C0002,2100,,,
W912L914C0003,2100,0,$0,0%
VA244C1010,3600,0,$0,0%
AG94TZC060022,12C2,0,$0,0%
W91B4M09C4184,2100,0,$0,0%
V249C00278AWO14C60150,3600,0,$0,0%
VA246C0639,3600,0,$0,0%
GS09P16WBC7033,4740,0,$0,0%
GS11P12YEC0035,4740,,,
47PK0923C0022,4740,,,
W914NS05C8407,2100,,,
VA24612C0036,3600,0,$0,0%
W912DR15C0036,2100,,,
W9123804C0010,2100,,,
VA263C0264,3600,0,$0,0%
VA263C0463,3600,0,$0,0%
GS04P09RAC0052,4740,,,
W912CL11C0034,2100,0,$0,0%
SAQMMA17C0235,1900,0,$0,0%
W912PP07C0022,2100,,,
140P1423C0018,1443,,,
W917BG08C0053,2100,,,
V69DC8738A,3600,0,$0,0%
47PE0218C0014,4740,,,
DTFAAC07C00033,6920,,,
W912NR17C0004,2100,0,$0,0%
12639519C0081,12K3,,,
140P2022C0065,1443,,,
47PM1122C0003,4740,,,
DACA4703C0015,2100,,,
GSP1109YTC0119,4740,,,
GS03P16QAC7030,4740,,,
SAQMMA08C0251,1900,,,
VA69DC0780,3600,,,
DJB30803046,1540,0,$0,0%
36C25019C0018,3600,0,$0,0%
W91QV119C0087,2100,,,
W912QR12C0025,2100,0,$0,0%
W912HN04C0005,2100,0,$0,0%
DTFANE10C00080,6920,0,$0,0%
36C25023C0190,3600,,,
VA69D14C0137,3600,,,
SAQMMA16C0116,1900,,,
W9124B19C0007,2100,,,
12805B22C0010,12H2,,,
GS11P03ZGC0327,4740,0,$0,0%
VA24815C0179,3600,,,
GS11P13YEC0099,4740,0,$0,0%
GS05P09SMC0007,4740,0,$0,0%
VA261C0996,3600,0,$0,0%
AG32SDC170046,12H2,,,
W9124B20C0027,2100,,,
W912DY13C0039,2100,0,$0,0%
GS11P09YTC0103,4740,,,
36C25923C0018,3600,0,$0,0%
VA248RA1372,3600,,,
W912HN08C0056,2100,0,$0,0%
47PB0620C0020,4740,,,
140F0418C0015,1448,,,
VA258C0125,3600,0,$0,0%
GS09P11WFC0008,4740,0,$0,0%
W912QR15C0040,2100,0,$0,0%
GS11P17MAC0003,4740,,,
W911KB23C0013,2100,,,
DOCSB134117CN0047,1341,,,
W912DW24C0021,2100,,,
697DCK23C00300,6920,,,
GS11P10MAM0562,4740,0,$0,0%
DOCWC133W15CN0149,1330,,,
GS07P10UKC0025,4740,0,$0,0%
VA263C1391,3600,0,$0,0%
VA246C0236,3600,,,
AG82A7C170024,12C2,,,
47PK1518C0011,4740,,,
W9126G18C0101,2100,0,$0,0%
GS11P07YTC0247,4740,0,$0,0%
VA256C0653,3600,0,$0,0%
VA26312C0129,3600,0,$0,0%
AG02RCC170025,12C2,,,
W912DR20C0076,2100,0,$0,0%
70US0924C70092692,7009,,,
INF70181AC816,1448,0,$0,0%
INP16PC00534,1443,,,
W9124J16C0051,2100,,,
36C26320C0155,3600,0,$0,0%
GS04P15EXC0082,4740,0,$0,0%
W50S9724C0004,2100,0,$0,0%
47PG0420C0006,4740,,,
V693C484,3600,,,
89243320CFE000061,8900,,,
DJB21504004,1540,,,
HHSD200200615899C,7523,0,$0,0%
GS10P04XJC0046,4740,0,$0,0%
W919QA12C0028,2100,0,$0,0%
GS09P10WFC0032,4740,,,
VA262C12061,3600,0,$0,0%
VA69D17C0028,3600,0,$0,0%
HSCG8317CPBA008,7008,,,
VA245C0626,3600,,,
47PG0723C0002,4740,,,
VA255C1325,3600,0,$0,0%
SSR10006C1059,1900,0,$0,0%
W912CL07C0009,2100,0,$0,0%
47PE0222C0045,4740,,,
W912PL24C0021,2100,,,
W912P824C0007,2100,,,
VA261C0475,3600,0,$0,0%
47PD0119C0018,4740,,,
AG32SCC150059,12H2,0,$0,0%
W9124M08C0058,2100,0,$0,0%
V600C07158A,3600,0,$0,0%
47PL0117C0016,4740,,,
VA24914C0222,3600,0,$0,0%
W9127817C0038,2100,,,
W91QEY08C0008,2100,0,$0,0%
GS09P17KLC0006,4740,,,
W912HN18C3001,2100,,,
W91GF509C8159,2100,0,$0,0%
47PM0518C0010,4740,,,
GS06P04TEC0024,4740,,,
47PM0619C0009,4740,,,
VA24413C0103,3600,0,$0,0%
36C24923C0108,3600,0,$0,0%
GS11P08YTC0168,4740,0,$0,0%
47PD1220C0010,4740,,,
GS09P10KZC0007,4740,0,$0,0%
W912DY18C0057,2100,0,$0,0%
140A2324C0019,1450,,,
VA25616C0217,3600,,,
36C26222C0052,3600,0,$0,0%
GS04P15EXC0088,4740,0,$0,0%
V564C317,3600,0,$0,0%
VA248C1444,3600,,,
HHSD200200618874C,7523,0,$0,0%
47PH0620C0003,4740,,,
VA263C1083,3600,,,
140A2320C0016,1450,,,
W50S6L22C0004,2100,,,
EW000200211DGS04P02LCC0094,4740,0,$0,0%
W90WL512C0019,2100,,,
V846C648,3600,,,
GS09P10NPC0007,4740,,,
VA256C0552,3600,,,
GS08P12JFC0086,4740,0,$0,0%
INP17PC00769,1443,,,
W91SMC11C0004,2100,0,$0,0%
80MSFC17C0021,8000,,,
GS11P13MAP0196,4740,0,$0,0%
W912BV11C0034,2100,0,$0,0%
DABR0104C0007,2100,0,$0,0%
VA262C0888,3600,,,
W9127815C0002,2100,,,
AG32SCC150036,12H2,0,$0,0%
W91B4M09C4077,2100,0,$0,0%
36C24922C0020,3600,,,
W917BK09C0060,2100,,,
W912HN10C0054,2100,,,
GS03P11QMC0005,4740,0,$0,0%
GS09P02KYC0029,4740,,,
47PF0024C0001,4740,,,
36C24124C0050,3600,0,$0,0%
W912BU20C0061,2100,,,
47PE0223C0028,4740,,,
GS06P05THC0029,4740,,,
47PE0222C0035,4740,,,
W912HN19C3004,2100,,,
TMHQ11C0027,2044,0,$0,0%
INICMK60070001,1450,0,$0,0%
AG2415C150006,12H2,0,$0,0%
47PM1018C0039,4740,,,
W5J9JE12C0037,2100,0,$0,0%
NNJ06HB29C,8000,,,
W9128F22C0007,2100,,,
W5J9LE13C0019,2100,0,$0,0%
19GE5022C0024,1900,0,$0,0%
HSCGG116CPRV022,7008,,,
VA25912C0173,3600,0,$0,0%
