,Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
6077,19AQMM24C0018,1900,Empty,Empty,Empty
6078,LERC0200109DNAS301206,8000,Empty,Empty,Empty
6079,6973GH24C00121,6920,Empty,Empty,Empty
6080,47PL0124C0008,4740,Empty,Empty,Empty
6081,GS09P09WRC0023,4740,Empty,Empty,Empty
6082,VA101183B4C0033,3600,Empty,Empty,Empty
6083,FA481914C0024,5700,Empty,Empty,Empty
6084,W912CG05C0001,2100,Empty,Empty,Empty
6085,SAQMMA15C0244,1900,Empty,Empty,Empty
6086,GS04P15EXC7021,4740,,,
6087,VA247C0874,3600,Empty,Empty,Empty
6088,SP470219C0009,97AS,Empty,Empty,Empty
6089,W912QR09C0006,2100,Empty,Empty,Empty
6090,47PD1018C0008,4740,,,
6091,GS11P05MAC0298,4740,0,$0,0%
6092,SP470315C0026,97AS,Empty,Empty,Empty
6093,SAQMMA11C0208,1900,Empty,Empty,Empty
6094,W911SF19C0029,2100,Empty,Empty,Empty
6095,GS11P09YEC0144,4740,Empty,Empty,Empty
6096,W912HN04C0018,2100,Empty,Empty,Empty
6097,N4008010C0534,1700,Empty,Empty,Empty
6098,GS11P09MAM0028,4740,Empty,Empty,Empty
6099,GS09P94KTC0056,4740,Empty,Empty,Empty
6100,GS11P07YTC0156,4740,0,$0,0%
6101,VA249C0466,3600,,,
6102,INF16PC00076,1448,Empty,Empty,Empty
6103,FA860109C0071,5700,Empty,Empty,Empty
6104,N4008513C1357,1700,Empty,Empty,Empty
6105,47PM0422C0002,4740,,,
6106,INP13PC00198,1443,,,
6107,36C24724C0055,3600,Empty,Empty,Empty
6108,N0042124C0068,1700,Empty,Empty,Empty
6109,W9124723C0091,2100,0,$0,0%
6110,VA255C0791,3600,0,$0,0%
6111,FA701210C0005,5700,Empty,Empty,Empty
6112,GS09P15KTC7010,4740,,,
6113,HSCG2813N7S1810,7008,Empty,Empty,Empty
6114,VA262C0029,3600,,,
6115,W912PP08C0002,2100,Empty,Empty,Empty
6116,W9124M05C0017,2100,Empty,Empty,Empty
6117,V618C1313,3600,Empty,Empty,Empty
6118,FA252105C0078,5700,Empty,Empty,Empty
6119,VA244C1929,3600,,,
6120,V10N3C288,3600,,,
6121,GS07P11HHC0014,4740,Empty,Empty,Empty
6122,689H0012,3600,Empty,Empty,Empty
6123,GS06P10TNC0055,4740,0,$0,0%
6124,VA258C0562,3600,,,
6125,W91JA411C7045,2100,Empty,Empty,Empty
6126,VA263C1372,3600,,,
6127,VA259C0916,3600,0,$0,0%
6128,W917BK05C0080,2100,Empty,Empty,Empty
6129,FA301624C0041,5700,Empty,Empty,Empty
6130,W911YP09C2203,2100,,,
6131,VA241RA1793,3600,Empty,Empty,Empty
6132,GS11P07YEC0172,4740,Empty,Empty,Empty
6133,GS11P13MAP0261,4740,,,
6134,N6945007C1776,1700,Empty,Empty,Empty
6135,W912DQ20C4021,2100,,,
6136,GS08P12JCC0011,4740,Empty,Empty,Empty
6137,VA248C1769,3600,Empty,Empty,Empty
6138,VA244C0857,3600,Empty,Empty,Empty
6139,W91B4M09C4086,2100,,,
6140,VA25913C0072,3600,Empty,Empty,Empty
6141,36C24218C0108,3600,Empty,Empty,Empty
6142,47PK1518C0038,4740,,,
6143,36C25819C0043,3600,,,
6144,VA255C0775,3600,Empty,Empty,Empty
6145,VA246C0202,3600,Empty,Empty,Empty
6146,INF101819C303,1448,Empty,Empty,Empty
6147,W91B4P12C0042,2100,Empty,Empty,Empty
6148,AE109010000010,1630,Empty,Empty,Empty
6149,VA24915C0004,3600,Empty,Empty,Empty
6150,W9124B18C0014,2100,,,
6151,W9124719C0097,2100,,,
6152,W912ER12C0007,2100,Empty,Empty,Empty
6153,W912DY14C0048,2100,Empty,Empty,Empty
6154,DJBP0700CCRD220004,1540,0,$0,0%
6155,DJBP0214KP630016,1540,0,$0,0%
6156,GS00P16LYC7011,4740,,,
6157,W91GY009C0003,2100,Empty,Empty,Empty
6158,36C25920C0179,3600,Empty,Empty,Empty
6159,FA465904CC009,5700,Empty,Empty,Empty
6160,VA701RA0043,3600,Empty,Empty,Empty
6161,SP470216C0020,97AS,Empty,Empty,Empty
6162,FA460005C0017,5700,Empty,Empty,Empty
6163,36C25918C0017,3600,0,$0,0%
6164,W9126G05C0002,2100,0,$0,0%
6165,36C25218C0107,3600,Empty,Empty,Empty
6166,75N99023C00051,7529,,,
6167,GS04P08EWC0028,4740,Empty,Empty,Empty
6168,W91B4N11C8105,2100,0,$0,0%
6169,GS11P16YTC7136,4740,,,
6170,GS04P16EXC7162,4740,,,
6171,VA25016C0053,3600,,,
6172,GS11P12YTC0104,4740,,,
6173,VA249C1106,3600,Empty,Empty,Empty
6174,W912QR12C0082,2100,Empty,Empty,Empty
6175,W912DS23C0024,2100,Empty,Empty,Empty
6176,N6945009C3612,1700,Empty,Empty,Empty
6177,AG82X9C100128,12C2,,,
6178,DTFAEN11C00422,6920,0,$0,0%
6179,W912QR06C0054,2100,0,$0,0%
6180,W9128A14C0009,2100,Empty,Empty,Empty
6181,VA25713C0084,3600,Empty,Empty,Empty
6182,GS09P16WFC7011,4740,Empty,Empty,Empty
6183,W912DR18C0023,2100,Empty,Empty,Empty
6184,GS11P13MAP0318,4740,Empty,Empty,Empty
6185,N4008519C9263,1700,Empty,Empty,Empty
6186,W50S7X20C0002,2100,Empty,Empty,Empty
6187,W50S6L20C0007,2100,Empty,Empty,Empty
6188,36C25723C0060,3600,Empty,Empty,Empty
6189,W912J205C0005,2100,Empty,Empty,Empty
6190,INP12PC40720,1443,Empty,Empty,Empty
6191,N6945012C3105,1700,Empty,Empty,Empty
6192,W912EP13C0004,2100,Empty,Empty,Empty
6193,19GE5018C0036,1900,,,
6194,VA257C00638A,3600,Empty,Empty,Empty
6195,47PD0519C0001,4740,Empty,Empty,Empty
6196,W9123609C0059,2100,,,
6197,47PK0519C0003,4740,,,
6198,36C25019C0207,3600,,,
6199,W912DR20C0026,2100,0,$0,0%
6200,FA890321C0002,5700,Empty,Empty,Empty
6201,36C25519C0096,3600,0,$0,0%
6202,36C24222C0121,3600,0,$0,0%
6203,W912DS18C0006,2100,,,
6204,W9124719C0043,2100,,,
6205,W913FT13C0017,2100,Empty,Empty,Empty
6206,47PK1722C0004,4740,Empty,Empty,Empty
6207,V249C00418A,3600,Empty,Empty,Empty
6208,N4008012C0506,1700,Empty,Empty,Empty
6209,GS01P15NFC0007,4740,,,
6210,W9123605C0056,2100,Empty,Empty,Empty
6211,4431200309D504431302000,12H2,Empty,Empty,Empty
6212,GS04P11EXC0118,4740,0,$0,0%
6213,W912QR07C0068,2100,0,$0,0%
6214,47PM0719C0010,4740,,,
6215,FA910111C0023,5700,Empty,Empty,Empty
6216,W912P413C0002,2100,Empty,Empty,Empty
6217,W912DQ23C4010,2100,Empty,Empty,Empty
6218,VA263RA0887,3600,0,$0,0%
6219,GS07P16UTC7009,4740,Empty,Empty,Empty
6220,36C26222C0227,3600,Empty,Empty,Empty
6221,W911SA17C2009,2100,Empty,Empty,Empty
6222,36C26224C0303,3600,Empty,Empty,Empty
6223,V520C5258A,3600,,,
6224,W912QM24C0002,2100,,,
6225,GS05P09SVC0045,4740,Empty,Empty,Empty
