Contract ID,Contracting Agency ID,Number of Sub-Award Transactions,Sub-Award Obligation Sum,Percent of Prime Award (Sub-Award)
47PD1022C0018,4740,Empty,Empty,Empty
GS10P17XJC0011,4740,Empty,Empty,Empty
FA460009C0068,5700,Empty,Empty,Empty
GS11P16YMC7117,4740,Empty,Empty,Empty
W912P624C0016,2100,Empty,Empty,Empty
GS03P10QKC0037,4740,Empty,Empty,Empty
V678C08378A,3600,Empty,Empty,Empty
AG4384C110002,12H2,Empty,Empty,Empty
VA241C1022,3600,Empty,Empty,Empty
W9124709C0041,2100,Empty,Empty,Empty
GS11P06ZGM0070,4740,Empty,Empty,Empty
W911S822C0012,2100,Empty,Empty,Empty
N4008010C1033,1700,Empty,Empty,Empty
GS10P16XAC7000,4740,Empty,Empty,Empty
N6246703C2940,1700,Empty,Empty,Empty
N4008513C3508,1700,Empty,Empty,Empty
DTFACT14C00017,6920,Empty,Empty,Empty
N6945018C5657,1700,Empty,Empty,Empty
N6274216C1317,1700,Empty,Empty,Empty
W912QR11C0017,2100,Empty,Empty,Empty
N4008517C3052,1700,Empty,Empty,Empty
HC102812C0032,97AK,Empty,Empty,Empty
N6945011C4584,1700,Empty,Empty,Empty
47PD0217C0007,4740,Empty,Empty,Empty
36C25523C0106,3600,Empty,Empty,Empty
GS11P17LYC0002,4740,Empty,Empty,Empty
N6945013C0758,1700,Empty,Empty,Empty
N6247020C0006,1700,Empty,Empty,Empty
FA465906CC003,5700,Empty,Empty,Empty
SP470217C0017,97AS,Empty,Empty,Empty
36C24920C0104,3600,Empty,Empty,Empty
FA813721C0014,5700,Empty,Empty,Empty
47PM0419C0009,4740,Empty,Empty,Empty
W9126G13C0087,2100,Empty,Empty,Empty
VA262C0360,3600,Empty,Empty,Empty
W5K9FH11C0198,2100,Empty,Empty,Empty
GS06P13TEC0038,4740,Empty,Empty,Empty
W912DR16C0016,2100,Empty,Empty,Empty
W912DW08C0001,2100,Empty,Empty,Empty
VA24117C0084,3600,Empty,Empty,Empty
GS05P03GBC0040,4740,Empty,Empty,Empty
N4008023C0012,1700,Empty,Empty,Empty
FA302224C0010,5700,Empty,Empty,Empty
GS05P14SAC0060,4740,Empty,Empty,Empty
HQ003405C1002,97F5,Empty,Empty,Empty
W91B4N16C8008,2100,Empty,Empty,Empty
W81XWH11C0522,2100,Empty,Empty,Empty
W9128F10C0074,2100,Empty,Empty,Empty
INLNDC040014,1422,Empty,Empty,Empty
N6247205C7521,1700,Empty,Empty,Empty
GS03P03DXC0005,4740,Empty,Empty,Empty
N6945010C4325,1700,Empty,Empty,Empty
N6247003C0078,1700,Empty,Empty,Empty
W5K9UR11C7009,2100,Empty,Empty,Empty
N6247311C2018,1700,Empty,Empty,Empty
N3654A08C4003,1700,Empty,Empty,Empty
N6247311C0605,1700,Empty,Empty,Empty
VA263C0936,3600,Empty,Empty,Empty
N6871103C1562,1700,Empty,Empty,Empty
36C25218C0061,3600,Empty,Empty,Empty
VA260C0909,3600,Empty,Empty,Empty
W50S6L20C0004,2100,Empty,Empty,Empty
VA52813C0077,3600,Empty,Empty,Empty
GS08P07JCC0010,4740,Empty,Empty,Empty
W91B4K09C5040,2100,Empty,Empty,Empty
W5K9UR11C7047,2100,Empty,Empty,Empty
47PE0118C0015,4740,Empty,Empty,Empty
N6247311C4010,1700,Empty,Empty,Empty
F0865103C0054,5700,Empty,Empty,Empty
DOLETA16C0091,1630,Empty,Empty,Empty
N4008509C9076,1700,Empty,Empty,Empty
N4008510C7231,1700,Empty,Empty,Empty
VA241C0797,3600,Empty,Empty,Empty
W9127809C0079,2100,Empty,Empty,Empty
GS07P13URC0005,4740,Empty,Empty,Empty
W917BE06C0062,2100,Empty,Empty,Empty
W5J9JE10C0063,2100,Empty,Empty,Empty
N6247306C5256,1700,Empty,Empty,Empty
GS09P11WJC0002,4740,Empty,Empty,Empty
FA810116C0017,5700,Empty,Empty,Empty
DTFACN16C00216,6920,Empty,Empty,Empty
VA25013C0050,3600,Empty,Empty,Empty
VA247C0474,3600,Empty,Empty,Empty
W9115107C0072,2100,Empty,Empty,Empty
VA69DC0573,3600,Empty,Empty,Empty
75D30118C03153,7523,Empty,Empty,Empty
VA24717C0224,3600,Empty,Empty,Empty
FA701210C0022,5700,Empty,Empty,Empty
N6247010C5040,1700,Empty,Empty,Empty
TMHQ11C0067,2044,Empty,Empty,Empty
GS09P16WKC7015,4740,Empty,Empty,Empty
W9126G10C0021,2100,Empty,Empty,Empty
V249C00238A,3600,Empty,Empty,Empty
36C25519C0101,3600,Empty,Empty,Empty
GS11P09YTC0382,4740,Empty,Empty,Empty
W912PP13C0003,2100,Empty,Empty,Empty
47PJ0020C0004,4740,Empty,Empty,Empty
W912QR09C0008,2100,Empty,Empty,Empty
VA24412C0469,3600,Empty,Empty,Empty
